Time, Memory,Method
74730,616, POST
128691,616, POST
127498,616, POST
123361,616, POST
138059,616, POST
265888,616, POST
78487,616, POST
120005,616, POST
116789,616, POST
126787,616, POST
113543,616, POST
113522,616, POST
119193,616, POST
111439,616, POST
112190,616, POST
144029,616, POST
113222,616, POST
122329,616, POST
129433,616, POST
132568,616, POST
112020,616, POST
111819,616, POST
120767,616, POST
113262,616, POST
111409,616, POST
110086,616, POST
118793,616, POST
118402,616, POST
111840,616, POST
114054,616, POST
113092,616, POST
117450,616, POST
119103,616, POST
123762,616, POST
129632,616, POST
68448,616, POST
73047,616, POST
73698,616, POST
67877,616, POST
79369,616, POST
72787,616, POST
77175,616, POST
70181,616, POST
75241,616, POST
131215,616, POST
73548,616, POST
68408,616, POST
76152,616, POST
70993,616, POST
118011,616, POST
115396,616, POST
112761,616, POST
125184,616, POST
124914,616, POST
73888,616, POST
76013,616, POST
75191,616, POST
75982,616, POST
69190,616, POST
71875,616, POST
67396,616, POST
71674,616, POST
72817,616, POST
77956,616, POST
87223,616, POST
74930,616, POST
69961,616, POST
74930,616, POST
133179,616, POST
113382,616, POST
128200,616, POST
113202,616, POST
113503,616, POST
118682,616, POST
124784,616, POST
75371,616, POST
71404,616, POST
70602,616, POST
72195,616, POST
112831,616, POST
114083,616, POST
113202,616, POST
114856,616, POST
120165,616, POST
114184,616, POST
126066,616, POST
124303,616, POST
130885,616, POST
126688,616, POST
128701,616, POST
125756,616, POST
129462,616, POST
119554,616, POST
142386,616, POST
110687,600, POST
125475,600, POST
137828,600, POST
136386,600, POST
110057,600, POST
117269,600, POST
134862,600, POST
134842,600, POST
114013,600, POST
111388,600, POST
117139,600, POST
89899,600, POST
101680,600, POST
120486,600, POST
106610,600, POST
121698,600, POST
114855,600, POST
125304,600, POST
134953,600, POST
115397,600, POST
125465,600, POST
111790,600, POST
109535,600, POST
119554,600, POST
109555,600, POST
121658,600, POST
111298,600, POST
109755,600, POST
110517,600, POST
112852,600, POST
120876,600, POST
141705,600, POST
119244,600, POST
154770,600, POST
118522,600, POST
134292,600, POST
118361,600, POST
120065,600, POST
124203,600, POST
123512,600, POST
125555,600, POST
70532,600, POST
75391,600, POST
70702,600, POST
66144,600, POST
71725,600, POST
70312,600, POST
72005,600, POST
66635,600, POST
68167,600, POST
67917,600, POST
122840,600, POST
75491,600, POST
77305,600, POST
74079,600, POST
74630,600, POST
72496,600, POST
73718,600, POST
89438,600, POST
74299,600, POST
73819,600, POST
73588,600, POST
76373,600, POST
74229,600, POST
74309,600, POST
75522,600, POST
76734,600, POST
73799,600, POST
73548,600, POST
73798,600, POST
76073,600, POST
75041,600, POST
80972,600, POST
72987,600, POST
74259,600, POST
74019,600, POST
122580,600, POST
119444,600, POST
120365,600, POST
153838,600, POST
118532,600, POST
135904,600, POST
119974,600, POST
111949,600, POST
108965,600, POST
112911,600, POST
123071,600, POST
139341,600, POST
107241,600, POST
107521,600, POST
108283,600, POST
106039,600, POST
117009,600, POST
70231,600, POST
66906,600, POST
107852,600, POST
113923,600, POST
107090,600, POST
107060,600, POST
106710,600, POST
115166,600, POST
119073,600, POST
73498,600, POST
108553,600, POST
121538,600, POST
119715,600, POST
109405,600, POST
84759,600, POST
108263,600, POST
165180,600, POST
121047,600, POST
123642,600, POST
106660,600, POST
113542,600, POST
118652,600, POST
108513,600, POST
130525,600, POST
114484,600, POST
110026,600, POST
131076,600, POST
112661,600, POST
117050,600, POST
124493,600, POST
109075,600, POST
109014,600, POST
124222,600, POST
108333,600, POST
108984,600, POST
111359,600, POST
118271,600, POST
114815,600, POST
73147,600, POST
111970,600, POST
126918,600, POST
111449,600, POST
107923,600, POST
114715,600, POST
109024,600, POST
107211,600, POST
112140,600, POST
107241,600, POST
107812,600, POST
115707,600, POST
126517,600, POST
76894,600, POST
78668,600, POST
75642,600, POST
73207,600, POST
106580,600, POST
107902,600, POST
123702,600, POST
124403,600, POST
120546,600, POST
74489,600, POST
74330,600, POST
110938,600, POST
72095,600, POST
70552,600, POST
79920,600, POST
77305,600, POST
76734,600, POST
77174,600, POST
73818,600, POST
74058,600, POST
71524,600, POST
67356,600, POST
68558,600, POST
69991,600, POST
79519,600, POST
70281,600, POST
