Time, Memory,Method
74985,648, POST
68606,648, POST
80493,648, POST
69376,648, POST
70578,648, POST
74355,648, POST
138173,648, POST
99653,648, POST
230244,648, POST
96508,648, POST
128738,648, POST
133195,648, POST
130661,648, POST
129940,648, POST
149881,648, POST
149761,648, POST
114286,648, POST
383510,648, POST
83990,648, POST
77990,648, POST
88236,648, POST
77249,648, POST
78040,648, POST
75907,648, POST
77549,648, POST
75987,648, POST
75516,648, POST
89708,648, POST
74885,648, POST
126535,648, POST
146545,648, POST
78440,648, POST
78731,648, POST
84530,648, POST
75937,648, POST
76838,648, POST
81445,648, POST
75136,648, POST
79142,648, POST
79773,648, POST
78060,648, POST
87444,648, POST
78540,648, POST
81155,648, POST
77950,648, POST
128317,648, POST
123009,648, POST
124171,648, POST
77379,648, POST
79702,648, POST
113916,648, POST
120756,648, POST
121687,648, POST
125273,648, POST
123701,648, POST
88436,648, POST
167758,648, POST
75656,648, POST
76287,648, POST
75696,648, POST
114206,648, POST
127736,648, POST
75997,648, POST
118452,648, POST
76337,648, POST
113304,648, POST
80213,648, POST
127556,648, POST
114987,648, POST
86873,648, POST
154047,648, POST
158434,648, POST
82658,648, POST
74144,648, POST
121527,648, POST
133725,648, POST
110429,648, POST
154578,648, POST
114496,648, POST
99994,648, POST
136169,648, POST
125964,648, POST
112573,648, POST
123560,648, POST
129760,648, POST
134457,648, POST
149980,648, POST
129570,648, POST
176221,648, POST
108247,648, POST
109057,648, POST
81866,648, POST
70949,648, POST
78040,648, POST
73773,648, POST
84680,648, POST
70238,648, POST
69767,648, POST
78611,648, POST
71630,648, POST
130711,648, POST
235802,648, POST
127166,648, POST
123209,648, POST
121888,648, POST
121927,648, POST
123790,648, POST
133725,648, POST
123399,648, POST
114766,648, POST
79282,648, POST
115217,648, POST
120676,648, POST
150442,648, POST
133866,648, POST
128227,648, POST
129199,648, POST
186577,648, POST
124482,648, POST
129580,648, POST
128677,648, POST
127285,648, POST
155098,648, POST
129710,648, POST
130561,648, POST
125012,648, POST
126064,648, POST
129118,648, POST
131282,648, POST
130250,648, POST
144913,648, POST
136219,648, POST
127205,648, POST
125914,648, POST
151363,648, POST
128167,648, POST
75747,648, POST
77108,648, POST
72251,648, POST
122980,648, POST
124781,648, POST
115668,648, POST
141507,648, POST
119294,648, POST
114286,648, POST
116569,648, POST
130400,648, POST
114907,648, POST
115047,648, POST
125363,648, POST
83979,648, POST
71751,648, POST
68986,648, POST
89748,648, POST
71089,648, POST
68746,648, POST
69828,648, POST
138643,648, POST
71130,648, POST
69907,648, POST
69667,648, POST
70138,648, POST
71981,648, POST
70238,648, POST
123590,648, POST
80584,648, POST
82046,648, POST
80624,648, POST
75466,648, POST
70699,648, POST
96678,648, POST
66121,648, POST
70839,648, POST
74535,648, POST
70618,648, POST
81696,648, POST
130030,648, POST
79723,648, POST
74234,648, POST
98151,648, POST
139735,648, POST
124952,648, POST
161088,648, POST
132955,648, POST
126235,648, POST
113695,648, POST
131032,648, POST
150371,648, POST
78110,648, POST
161498,648, POST
211996,648, POST
99844,648, POST
135539,648, POST
150792,648, POST
118032,648, POST
76448,648, POST
77039,648, POST
126955,648, POST
142650,648, POST
137652,648, POST
121842,648, POST
111262,648, POST
110572,648, POST
117725,648, POST
122493,648, POST
190728,648, POST
151305,648, POST
128995,648, POST
105883,648, POST
107886,648, POST
116232,648, POST
137331,648, POST
125088,648, POST
155864,648, POST
127953,648, POST
119898,648, POST
67332,648, POST
91586,648, POST
69577,648, POST
79154,648, POST
84744,648, POST
69957,648, POST
70418,648, POST
76349,648, POST
